LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
142.9,18.4,/Date(1693180800000)/,18,998,10,2023-08-28 00:00:00,"August 28, 2023 00:00"
141.5,18.4,/Date(1693202400000)/,18,998,7,2023-08-28 06:00:00,"August 28, 2023 06:00"
141.4,18.7,/Date(1693213200000)/,18,998,11,2023-08-28 09:00:00,"August 28, 2023 09:00"
140.6,18.8,/Date(1693224000000)/,18,998,11,2023-08-28 12:00:00,"August 28, 2023 12:00"
139.3,18.8,/Date(1693245600000)/,20,995,13,2023-08-28 18:00:00,"August 28, 2023 18:00"
138.9,18.8,/Date(1693256400000)/,20,995,13,2023-08-28 21:00:00,"August 28, 2023 21:00"
138.3,19.0,/Date(1693267200000)/,23,990,11,2023-08-29 00:00:00,"August 29, 2023 00:00"
137.7,19.4,/Date(1693288800000)/,28,982,15,2023-08-29 06:00:00,"August 29, 2023 06:00"
137.2,19.6,/Date(1693299600000)/,28,982,15,2023-08-29 09:00:00,"August 29, 2023 09:00"
136.1,19.6,/Date(1693310400000)/,30,980,13,2023-08-29 12:00:00,"August 29, 2023 12:00"
136.0,19.6,/Date(1693332000000)/,30,980,15,2023-08-29 18:00:00,"August 29, 2023 18:00"
135.8,19.6,/Date(1693342800000)/,30,980,15,2023-08-29 21:00:00,"August 29, 2023 21:00"
135.8,20.1,/Date(1693353600000)/,30,980,16,2023-08-30 00:00:00,"August 30, 2023 00:00"
135.3,20.5,/Date(1693375200000)/,30,980,21,2023-08-30 06:00:00,"August 30, 2023 06:00"
135.2,20.6,/Date(1693386000000)/,30,980,22,2023-08-30 09:00:00,"August 30, 2023 09:00"
135.1,20.9,/Date(1693396800000)/,30,980,26,2023-08-30 12:00:00,"August 30, 2023 12:00"
133.9,21.0,/Date(1693418400000)/,25,985,23,2023-08-30 18:00:00,"August 30, 2023 18:00"
133.5,21.2,/Date(1693429200000)/,25,985,23,2023-08-30 21:00:00,"August 30, 2023 21:00"
133.0,21.3,/Date(1693440000000)/,28,982,18,2023-08-31 00:00:00,"August 31, 2023 00:00"
132.1,21.7,/Date(1693461600000)/,28,982,21,2023-08-31 06:00:00,"August 31, 2023 06:00"
131.7,21.9,/Date(1693472400000)/,28,982,22,2023-08-31 09:00:00,"August 31, 2023 09:00"
131.3,22.1,/Date(1693483200000)/,28,982,23,2023-08-31 12:00:00,"August 31, 2023 12:00"
130.7,22.3,/Date(1693494000000)/,28,982,16,2023-08-31 15:00:00,"August 31, 2023 15:00"
130.1,22.4,/Date(1693504800000)/,28,982,18,2023-08-31 18:00:00,"August 31, 2023 18:00"
129.8,22.4,/Date(1693515600000)/,28,982,16,2023-08-31 21:00:00,"August 31, 2023 21:00"
129.7,22.4,/Date(1693526400000)/,30,980,18,2023-09-01 00:00:00,"September 01, 2023 00:00"
128.9,22.4,/Date(1693537200000)/,30,980,16,2023-09-01 03:00:00,"September 01, 2023 03:00"
128.7,22.4,/Date(1693548000000)/,33,975,16,2023-09-01 06:00:00,"September 01, 2023 06:00"
128.5,22.4,/Date(1693558800000)/,33,975,16,2023-09-01 09:00:00,"September 01, 2023 09:00"
127.7,22.3,/Date(1693569600000)/,33,975,13,2023-09-01 12:00:00,"September 01, 2023 12:00"
127.5,22.0,/Date(1693580400000)/,35,970,16,2023-09-01 15:00:00,"September 01, 2023 15:00"
127.1,21.8,/Date(1693591200000)/,35,970,14,2023-09-01 18:00:00,"September 01, 2023 18:00"
126.6,21.9,/Date(1693602000000)/,40,960,18,2023-09-01 21:00:00,"September 01, 2023 21:00"
126.5,22.0,/Date(1693605600000)/,40,960,18,2023-09-01 22:00:00,"September 01, 2023 22:00"
126.3,22.0,/Date(1693609200000)/,40,960,18,2023-09-01 23:00:00,"September 01, 2023 23:00"
126.2,22.1,/Date(1693612800000)/,40,960,17,2023-09-02 00:00:00,"September 02, 2023 00:00"
126.1,22.2,/Date(1693616400000)/,40,960,17,2023-09-02 01:00:00,"September 02, 2023 01:00"
125.9,22.2,/Date(1693620000000)/,40,960,17,2023-09-02 02:00:00,"September 02, 2023 02:00"
125.5,22.2,/Date(1693623600000)/,40,960,13,2023-09-02 03:00:00,"September 02, 2023 03:00"
125.4,22.2,/Date(1693627200000)/,40,960,13,2023-09-02 04:00:00,"September 02, 2023 04:00"
125.3,22.2,/Date(1693630800000)/,40,960,13,2023-09-02 05:00:00,"September 02, 2023 05:00"
125.2,22.5,/Date(1693634400000)/,40,960,18,2023-09-02 06:00:00,"September 02, 2023 06:00"
125.0,22.5,/Date(1693638000000)/,40,960,18,2023-09-02 07:00:00,"September 02, 2023 07:00"
124.9,22.5,/Date(1693641600000)/,40,960,18,2023-09-02 08:00:00,"September 02, 2023 08:00"
124.8,22.5,/Date(1693645200000)/,40,960,16,2023-09-02 09:00:00,"September 02, 2023 09:00"
124.7,22.5,/Date(1693648800000)/,40,960,16,2023-09-02 10:00:00,"September 02, 2023 10:00"
124.6,22.5,/Date(1693652400000)/,40,960,16,2023-09-02 11:00:00,"September 02, 2023 11:00"
124.4,22.6,/Date(1693656000000)/,40,960,15,2023-09-02 12:00:00,"September 02, 2023 12:00"
124.2,22.6,/Date(1693659600000)/,40,960,15,2023-09-02 13:00:00,"September 02, 2023 13:00"
123.9,22.7,/Date(1693663200000)/,40,960,15,2023-09-02 14:00:00,"September 02, 2023 14:00"
123.6,22.6,/Date(1693666800000)/,42,955,15,2023-09-02 15:00:00,"September 02, 2023 15:00"
123.5,22.6,/Date(1693670400000)/,42,955,13,2023-09-02 16:00:00,"September 02, 2023 16:00"
123.4,22.6,/Date(1693674000000)/,42,955,13,2023-09-02 17:00:00,"September 02, 2023 17:00"
123.3,22.6,/Date(1693677600000)/,45,950,13,2023-09-02 18:00:00,"September 02, 2023 18:00"
123.0,22.5,/Date(1693681200000)/,45,950,13,2023-09-02 19:00:00,"September 02, 2023 19:00"
122.9,22.4,/Date(1693684800000)/,45,950,13,2023-09-02 20:00:00,"September 02, 2023 20:00"
122.9,22.4,/Date(1693688400000)/,45,950,19,2023-09-02 21:00:00,"September 02, 2023 21:00"
122.8,22.4,/Date(1693692000000)/,45,950,19,2023-09-02 22:00:00,"September 02, 2023 22:00"
122.8,22.4,/Date(1693695600000)/,45,950,19,2023-09-02 23:00:00,"September 02, 2023 23:00"
122.6,22.5,/Date(1693699200000)/,50,940,20,2023-09-03 00:00:00,"September 03, 2023 00:00"
122.5,22.5,/Date(1693702800000)/,50,940,20,2023-09-03 01:00:00,"September 03, 2023 01:00"
122.3,22.7,/Date(1693706400000)/,52,935,20,2023-09-03 02:00:00,"September 03, 2023 02:00"
122.1,22.8,/Date(1693710000000)/,52,935,20,2023-09-03 03:00:00,"September 03, 2023 03:00"
121.9,22.8,/Date(1693713600000)/,52,935,20,2023-09-03 04:00:00,"September 03, 2023 04:00"
121.7,22.8,/Date(1693717200000)/,52,935,19,2023-09-03 05:00:00,"September 03, 2023 05:00"
121.6,22.9,/Date(1693720800000)/,52,935,18,2023-09-03 06:00:00,"September 03, 2023 06:00"
121.4,22.9,/Date(1693724400000)/,52,935,18,2023-09-03 07:00:00,"September 03, 2023 07:00"
121.2,22.9,/Date(1693728000000)/,48,945,18,2023-09-03 08:00:00,"September 03, 2023 08:00"
121.0,22.9,/Date(1693731600000)/,45,950,13,2023-09-03 09:00:00,"September 03, 2023 09:00"
120.9,22.9,/Date(1693735200000)/,45,950,13,2023-09-03 10:00:00,"September 03, 2023 10:00"
120.4,22.9,/Date(1693738800000)/,42,955,13,2023-09-03 11:00:00,"September 03, 2023 11:00"
120.2,22.7,/Date(1693742400000)/,35,970,13,2023-09-03 12:00:00,"September 03, 2023 12:00"
120.1,22.8,/Date(1693746000000)/,35,970,13,2023-09-03 13:00:00,"September 03, 2023 13:00"
120.0,22.8,/Date(1693749600000)/,35,970,13,2023-09-03 14:00:00,"September 03, 2023 14:00"
119.9,22.7,/Date(1693753200000)/,33,975,13,2023-09-03 15:00:00,"September 03, 2023 15:00"
119.9,22.6,/Date(1693756800000)/,33,975,13,2023-09-03 16:00:00,"September 03, 2023 16:00"
119.9,22.5,/Date(1693760400000)/,33,975,13,2023-09-03 17:00:00,"September 03, 2023 17:00"
120.0,22.5,/Date(1693764000000)/,33,975,10,2023-09-03 18:00:00,"September 03, 2023 18:00"
120.2,22.6,/Date(1693767600000)/,33,975,10,2023-09-03 19:00:00,"September 03, 2023 19:00"
120.3,22.7,/Date(1693771200000)/,33,975,10,2023-09-03 20:00:00,"September 03, 2023 20:00"
120.1,22.9,/Date(1693774800000)/,30,975,11,2023-09-03 21:00:00,"September 03, 2023 21:00"
120.1,22.9,/Date(1693778400000)/,30,975,11,2023-09-03 22:00:00,"September 03, 2023 22:00"
119.9,23.1,/Date(1693782000000)/,30,975,11,2023-09-03 23:00:00,"September 03, 2023 23:00"
119.8,23.2,/Date(1693785600000)/,30,975,13,2023-09-04 00:00:00,"September 04, 2023 00:00"
119.6,23.2,/Date(1693789200000)/,30,975,13,2023-09-04 01:00:00,"September 04, 2023 01:00"
119.5,23.3,/Date(1693792800000)/,30,980,13,2023-09-04 02:00:00,"September 04, 2023 02:00"
119.4,23.3,/Date(1693796400000)/,30,980,14,2023-09-04 03:00:00,"September 04, 2023 03:00"
119.3,23.3,/Date(1693800000000)/,30,980,13,2023-09-04 04:00:00,"September 04, 2023 04:00"
119.3,23.3,/Date(1693803600000)/,30,980,13,2023-09-04 05:00:00,"September 04, 2023 05:00"
119.2,23.3,/Date(1693807200000)/,30,980,16,2023-09-04 06:00:00,"September 04, 2023 06:00"
119.2,23.3,/Date(1693810800000)/,30,980,16,2023-09-04 07:00:00,"September 04, 2023 07:00"
119.1,23.3,/Date(1693814400000)/,30,980,15,2023-09-04 08:00:00,"September 04, 2023 08:00"
119.1,23.3,/Date(1693818000000)/,30,980,16,2023-09-04 09:00:00,"September 04, 2023 09:00"
119.0,23.4,/Date(1693821600000)/,30,980,15,2023-09-04 10:00:00,"September 04, 2023 10:00"
118.9,23.5,/Date(1693825200000)/,30,980,12,2023-09-04 11:00:00,"September 04, 2023 11:00"
118.8,23.5,/Date(1693828800000)/,30,980,13,2023-09-04 12:00:00,"September 04, 2023 12:00"
118.6,23.5,/Date(1693832400000)/,30,980,13,2023-09-04 13:00:00,"September 04, 2023 13:00"
118.5,23.5,/Date(1693836000000)/,28,982,13,2023-09-04 14:00:00,"September 04, 2023 14:00"
118.3,23.5,/Date(1693839600000)/,25,985,12,2023-09-04 15:00:00,"September 04, 2023 15:00"
118.2,23.5,/Date(1693843200000)/,25,985,12,2023-09-04 16:00:00,"September 04, 2023 16:00"
118.0,23.6,/Date(1693846800000)/,25,985,12,2023-09-04 17:00:00,"September 04, 2023 17:00"
117.7,23.6,/Date(1693850400000)/,23,990,10,2023-09-04 18:00:00,"September 04, 2023 18:00"
117.6,23.6,/Date(1693854000000)/,23,990,10,2023-09-04 19:00:00,"September 04, 2023 19:00"
117.5,23.6,/Date(1693857600000)/,23,990,10,2023-09-04 20:00:00,"September 04, 2023 20:00"
117.5,23.6,/Date(1693861200000)/,23,990,11,2023-09-04 21:00:00,"September 04, 2023 21:00"
117.3,23.6,/Date(1693864800000)/,20,995,10,2023-09-04 22:00:00,"September 04, 2023 22:00"
117.1,23.6,/Date(1693868400000)/,18,995,11,2023-09-04 23:00:00,"September 04, 2023 23:00"
117.0,23.6,/Date(1693872000000)/,15,998,10,2023-09-05 00:00:00,"September 05, 2023 00:00"
116.8,23.5,/Date(1693882800000)/,15,998,10,2023-09-05 03:00:00,"September 05, 2023 03:00"
116.7,23.6,/Date(1693893600000)/,15,1001,9,2023-09-05 06:00:00,"September 05, 2023 06:00"
116.3,23.6,/Date(1693904400000)/,15,1002,12,2023-09-05 09:00:00,"September 05, 2023 09:00"
116.0,23.6,/Date(1693915200000)/,15,1002,10,2023-09-05 12:00:00,"September 05, 2023 12:00"
115.7,23.6,/Date(1693926000000)/,15,1002,8,2023-09-05 15:00:00,"September 05, 2023 15:00"
115.3,23.6,/Date(1693936800000)/,15,1002,8,2023-09-05 18:00:00,"September 05, 2023 18:00"
115.2,23.5,/Date(1693947600000)/,12,1005,7,2023-09-05 21:00:00,"September 05, 2023 21:00"
115.1,23.5,/Date(1693958400000)/,12,1005,7,2023-09-06 00:00:00,"September 06, 2023 00:00"
115.0,23.5,/Date(1693969200000)/,12,1005,8,2023-09-06 03:00:00,"September 06, 2023 03:00"
114.9,23.5,/Date(1693980000000)/,12,1005,8,2023-09-06 06:00:00,"September 06, 2023 06:00"
